"var_y","sum_y","sum_y_squared","sum_y2_squared","sum_y3","sum_y3_squared","n_in_node","count_btw_0_0.25kg","count_btw_0.25_0.5kg","count_btw_0.5_0.75kg","count_btw_0.75_1kg","count_btw_1_1.25kg","count_btw_1.25_1.5kg","count_btw_1.5_1.75kg","count_btw_1.75_2kg","count_btw_2_2.25kg","count_btw_2.25_2.5kg","count_above_2.5kg"
0.0807309106116409,193275.5525685,1540360.65639216,98160959.4699824,12290218.0371854,6278701974.16818,24282,5,85,128,155,180,226,310,480,895,1791,20027
0.078642727559449,204608.378198338,1638242.37313538,105357695.871188,13131313.1079705,6800201518.02074,25586,3,78,131,154,168,173,282,434,786,1406,21971
0.0749072044158289,31058.5917928517,249100.276913171,16073053.0232587,1999980.22469927,1040864713.01555,3877,0,12,15,21,24,30,28,54,110,194,3389
0.072748109054055,33840.9733041431,272715.720856996,17762840.3335113,2199953.51892461,1160851594.3849,4204,0,9,24,17,17,16,29,57,87,169,3779
0.0699104886477622,34231.0055922599,274844.17118939,17770155.2595082,2208957.3004702,1152957000.58028,4268,0,6,17,18,30,25,35,78,131,239,3689
0.0828015210029651,35861.9898057325,288793.061189257,18790927.3608361,2328302.90552472,1227434327.2566,4459,0,10,25,21,25,42,33,83,97,192,3931
0.0622366405317128,48709.0597123668,392861.269597457,25622098.2719772,3171393.90933651,1676171727.33235,6045,0,9,14,28,26,28,47,71,139,220,5463
0.066568116752728,52650.3004428218,425986.849013215,27961514.0035657,3449796.19802283,1841238575.31675,6514,0,16,15,25,18,37,46,88,122,191,5956
0.102829176306697,20443.5511439642,162696.961435816,10348133.7019173,1296686.96544308,661353126.467266,2573,0,9,20,25,23,40,60,64,122,186,2024
0.111763096507298,20479.4397782305,163544.093513563,10476379.5497905,1308048.55748416,674451608.755435,2569,0,11,25,23,27,26,35,58,117,144,2103
0.0854719847056547,12702.1963125748,101738.787089595,6549051.71926848,815839.714743417,423176078.633943,1588,0,7,5,12,8,17,13,31,54,91,1350
0.072296271352559,14236.1733265302,114694.598204025,7466858.03012491,924986.989550266,487830148.45714,1769,0,3,5,5,14,15,12,31,49,73,1562
0.0465945123941777,1068120.20459466,8609262.93847747,560388276.02782,69437860.4777837,36558836902.9992,132613,7,150,284,290,362,500,739,1300,2374,5012,121595
0.0471740371178057,1111513.06302785,8997213.2924813,590650634.573961,72876487.7055242,38863217770.29,137415,6,123,272,344,365,472,723,1146,2066,3926,127972
0.0390253892705087,3227231.75499121,26085805.5102426,1707091849.58627,210968920.537444,111932450264.762,399499,15,297,490,637,812,1113,1763,3065,5955,12279,373073
0.0398411641901711,3409723.23504016,27682655.4710332,1827678103.99017,224874332.654938,120907159230.755,420236,16,233,520,649,829,1150,1733,2919,5213,9909,397065
0.0746704165421664,440987.767201021,3522866.86625877,225502140.952607,28172108.466762,14484283064.1607,55267,6,170,281,310,324,436,598,987,1824,3512,46819
0.0762037257050539,453243.395583024,3637401.1691186,234982570.531771,29221877.2738861,15232759145.5775,56544,6,157,297,300,319,384,517,854,1512,2714,49484
0.0706325132706618,225139.128104838,1806584.64590893,116654577.325699,14510739.7874056,7556785890.20301,28088,4,74,128,141,138,158,230,398,741,1332,24744
0.0713076569430802,231707.808038329,1867596.70087369,121671310.868732,15067703.6159218,7951834376.42481,28779,6,76,117,129,124,167,217,312,601,1054,25976
0.056541051809835,248880.917547162,2004261.19246575,130284031.977243,16153373.2947913,8492163306.19951,30932,0,48,72,108,131,160,243,366,687,1308,27809
0.0588704363336502,257083.047687881,2078726.3872642,136234599.215854,16822022.7577226,8953627365.13329,31823,0,40,80,103,129,172,258,391,618,1088,28944
0.0423547038594383,1553474.67208035,12549053.2434153,820338522.959764,101433061.769905,53740522045.2808,192433,8,133,254,335,448,663,1017,1789,3398,6470,177918
0.0437748071753935,1635101.50839891,13265850.3579498,874784516.486919,107694403.643555,57810921907.9659,201671,8,119,278,331,504,662,1004,1598,2961,5443,188763
0.0991057301526582,99304.8626400158,792557.035138653,50684335.9649812,6334126.74428726,3255655778.15029,12462,3,58,100,81,99,130,177,260,465,788,10301
0.088759026895328,99156.8588133633,794969.409773166,51281966.7854415,6381389.2009257,3321630601.7675,12385,0,38,79,66,101,117,165,245,408,625,10541
0.0796332109810181,149020.891796322,1194457.10815572,76984279.3268461,9584556.90009134,4979594636.8423,18615,6,54,101,105,108,143,209,295,518,971,16105
0.0790572027493123,151093.190275106,1216383.68863451,79083444.9567864,9803180.63649772,5159866710.75571,18791,2,53,86,102,123,111,167,294,441,759,16653
0.0473921435123623,754443.651161468,6077370.27182043,395129813.060801,48988513.4445013,25749020850.156,93725,4,109,201,234,290,369,534,927,1797,3568,85692
0.0496143790916763,788798.289237699,6380262.03274316,418274326.578581,51643009.9933453,27486255842.9734,97594,6,105,192,266,292,330,614,893,1540,2949,90407
0.0440124149762951,634937.731116003,5125379.08099406,334582200.828162,41399004.2808119,21888353857.4019,78710,3,79,134,153,204,266,403,695,1274,2736,72763
0.0445245350074752,667939.746210905,5415144.0340946,356571972.710482,43929187.4645246,23530261675.2086,82444,6,64,129,157,204,252,394,653,1156,2137,77292
